Campaign,Ad Group,Status
Bangalore to Tirupati Packages,Bangalore to Tirupati Packages - One Day Package,Enabled
Bangalore to Tirupati Packages,Bangalore to Tirupati Packages - SKAG - one_day_tirupati_package_from_bangalore,Enabled
Bangalore to Tirupati Packages,Bangalore to Tirupati Packages - Bus Package,Enabled
Bangalore to Tirupati Packages,Bangalore to Tirupati Packages - SKAG - bangalore_to_tirupati_bus_package,Enabled
Bangalore to Tirupati Packages,Bangalore to Tirupati Packages - Car Package,Enabled
Bangalore to Tirupati Packages,Bangalore to Tirupati Packages - SKAG - bangalore_to_tirupati_car_package,Enabled
Bangalore to Tirupati Packages,Bangalore to Tirupati Packages - Tirupati Darshan,Enabled
Bangalore to Tirupati Packages,Bangalore to Tirupati Packages - SKAG - tirupati_darshan_package_bangalore,Enabled
Bangalore to Tirupati Packages,Bangalore to Tirupati Packages - General,Enabled
